Well_ID	Longitude	Latitude	GWLm	method	mean	median	well_constructed_depth	altitude	vertical_datum	Counts
285537095214001	-95.362	28.927	-8.22	mean	-8.22	-8.41	224.0	4.85	NAVD88	4
285654095215101	-95.364	28.949	-8.72	mean	-8.72	-8.83	249.0	4.91	NAVD88	5
285655095172302	-95.290	28.949	-10.95	median	-10.95	-10.95	300.0	4.91	NAVD88	2
285744095212102	-95.356	28.962	-6.21	median	-6.21	-6.21	258.0	4.91	NAVD88	2
285749095162201	-95.273	28.964	-12.63	median	-10.92	-12.63	300.0	4.91	NAVD88	3
285919095344701	-95.581	28.989	-11.62	mean	-11.62	-11.63	506.0	13.66	NAVD88	5
290000095192601	-95.324	29.000	-12.37	median	-12.37	-12.37	236.0	4.88	NAVD88	1
290000095192602	-95.325	29.000	-12.38	mean	-12.38	-12.47	232.0	4.98	NAVD88	5
290213095240501	-95.401	29.037	-8.05	median	-8.05	-8.05	212.0	15.78	NAVD88	2
290214095421101	-95.703	29.037	-0.83	median	-0.83	-0.83	226.0	34.23	NAVD88	2
290346095243601	-95.410	29.063	-7.75	median	-7.75	-7.75	340.0	14.03	NAVD88	2
290834095384201	-95.645	29.143	-11.15	mean	-11.15	-11.12	659.0	34.28	NAVD88	5
290939095480601	-95.802	29.161	3.03	median	3.03	3.03	500.0	49.97	NAVD88	1
291138095261501	-95.438	29.194	-12.74	mean	-12.74	-12.12	819.0	29.96	NAVD88	5
291201095200701	-95.336	29.201	-8.07	mean	-8.07	-8.19	960.0	14.20	NAVD88	5
291210095484001	-95.811	29.203	1.60	median	1.90	1.60	473.0	55.15	NAVD88	5
291305095352201	-95.589	29.220	-10.84	median	-9.96	-10.84	867.0	35.01	NAVD88	5
291344095205101	-95.348	29.229	-3.04	median	-1.44	-3.04	304.0	23.84	NAVD88	5
291359095113401	-95.193	29.233	-13.45	median	-13.45	-13.45	898.0	13.38	NAVD88	2
291510095405201	-95.683	29.253	-6.73	median	-6.73	-6.73	887.0	60.00	NAVD88	1
291545095202401	-95.341	29.263	-6.88	mean	-6.88	-7.02	514.0	26.00	NAVD88	5
291859095152601	-95.257	29.317	-16.79	median	-13.34	-16.79	350.0	24.77	NAVD88	5
291919095485101	-95.814	29.322	5.09	mean	5.09	5.04	871.0	74.75	NAVD88	6
291948095135401	-95.232	29.330	-17.05	mean	-17.05	-17.07	400.0	20.41	NAVD88	5
291949095024801	-95.047	29.331	-13.67	mean	-13.67	-13.83	756.0	19.74	NAVD88	6
292037095010501	-95.018	29.344	-12.69	mean	-12.69	-12.81	1080.0	14.01	NAVD88	6
292054095171901	-95.289	29.349	-12.20	median	-13.16	-12.20	473.0	29.75	NAVD88	5
