Well_ID	Longitude	Latitude	GWLm	method	mean	median	well_constructed_depth	altitude	vertical_datum	Counts
285537095214001	-95.362	28.927	-31.98	median	-29.17	-31.98	224.0	4.85	NAVD88	11
285541095225401	-95.382	28.928	-32.16	mean	-32.16	-32.42	248.0	5.31	NAVD88	31
285607095210701	-95.352	28.936	-29.83	mean	-29.83	-29.54	252.0	4.91	NAVD88	30
285629095192801	-95.325	28.942	-28.81	mean	-28.81	-28.39	254.0	4.91	NAVD88	32
285633095224301	-95.379	28.943	-33.51	mean	-33.51	-33.98	246.0	6.59	NAVD88	31
285648095202101	-95.339	28.947	-23.11	mean	-23.11	-23.14	249.0	5.09	NAVD88	4
285654095215101	-95.364	28.949	-24.32	mean	-24.32	-24.34	249.0	4.91	NAVD88	4
285723095173601	-95.294	28.957	-29.08	median	-29.08	-29.08	230.0	0.20	NAVD88	1
285727095205801	-95.350	28.958	-29.62	mean	-29.62	-29.63	258.0	4.91	NAVD88	32
285807095232801	-95.391	28.969	-15.74	mean	-15.74	-15.89	212.0	6.84	NAVD88	31
285842095203101	-95.342	28.979	-24.42	median	-24.42	-24.42	238.0	5.23	NAVD88	1
285843095202501	-95.341	28.979	-18.91	median	-18.91	-18.91	243.0	5.01	NAVD88	1
285843095220501	-95.368	28.979	-19.87	median	-19.87	-19.87	284.0	4.91	NAVD88	1
285845095205401	-95.349	28.979	-19.15	median	-19.15	-19.15	212.0	6.21	NAVD88	1
285919095344701	-95.581	28.989	-8.42	mean	-8.42	-8.41	506.0	13.66	NAVD88	11
285938095234002	-95.395	28.994	-18.86	mean	-18.86	-19.57	233.0	9.37	NAVD88	30
285944095240801	-95.403	28.996	-18.08	mean	-18.08	-18.71	240.0	6.78	NAVD88	26
285959095192701	-95.324	29.000	-21.71	median	-21.71	-21.71	251.0	4.96	NAVD88	1
290000095192601	-95.324	29.000	-23.29	median	-23.29	-23.29	236.0	4.88	NAVD88	1
290000095192602	-95.325	29.000	-23.26	median	-23.26	-23.26	232.0	4.98	NAVD88	1
290100095253201	-95.426	29.016	-27.36	median	-27.36	-27.36	332.0	9.75	NAVD88	1
290125095243901	-95.411	29.024	-22.03	median	-22.03	-22.03	252.0	14.94	NAVD88	1
290126095244901	-95.414	29.024	-18.40	median	-18.40	-18.40	257.0	14.66	NAVD88	1
290130095243901	-95.411	29.025	-21.72	median	-21.72	-21.72	320.0	14.94	NAVD88	1
290134095231001	-95.386	29.026	-16.70	median	-16.70	-16.70	212.0	10.12	NAVD88	1
290158095233502	-95.393	29.033	-15.77	median	-15.77	-15.77	234.0	12.13	NAVD88	1
290159095262701	-95.441	29.033	-36.57	median	-36.57	-36.57	332.0	13.04	NAVD88	1
290209095265101	-95.448	29.036	-31.28	median	-31.28	-31.28	323.0	12.09	NAVD88	1
290245095261201	-95.437	29.046	-34.79	median	-34.79	-34.79	348.0	17.76	NAVD88	1
290320095253801	-95.427	29.056	-30.36	median	-30.36	-30.36	338.0	17.06	NAVD88	1
290429095072803	-95.125	29.075	-9.31	median	-9.31	-9.31	286.0	4.97	NAVD88	1
290654095321001	-95.536	29.115	1.58	median	1.58	1.58	215.0	25.10	NAVD88	1
290754095033502	-95.060	29.132	0.29	median	0.19	0.29	300.0	5.00	NAVD88	6
290818095025201	-95.048	29.139	-2.65	median	-2.71	-2.65	300.0	4.96	NAVD88	6
290834095384201	-95.645	29.143	-9.60	mean	-9.60	-9.72	659.0	34.28	NAVD88	8
290839095411901	-95.689	29.144	5.15	median	5.15	5.15	650.0	36.60	NAVD88	1
290846095385301	-95.648	29.146	-15.51	median	-15.51	-15.51	630.0	34.97	NAVD88	1
290857095334801	-95.564	29.149	0.72	median	0.72	0.72	411.0	20.32	NAVD88	1
290939095480601	-95.802	29.161	2.70	mean	2.70	2.81	500.0	49.97	NAVD88	5
291014095375001	-95.631	29.171	-14.81	median	-14.81	-14.81	650.0	33.23	NAVD88	1
291030095261001	-95.436	29.175	-26.56	median	-26.56	-26.56	881.0	29.32	NAVD88	1
291055095482501	-95.807	29.182	3.05	median	3.25	3.05	399.0	52.94	NAVD88	11
291114095213001	-95.359	29.188	2.16	median	1.98	2.16	335.0	15.01	NAVD88	10
291138095261501	-95.438	29.194	-27.91	median	-27.91	-27.91	819.0	29.96	NAVD88	1
291157095271901	-95.456	29.199	5.58	median	5.58	5.58	240.0	33.00	NAVD88	1
291201095200701	-95.336	29.201	-17.24	mean	-17.24	-17.05	960.0	14.20	NAVD88	11
291204095264001	-95.445	29.201	-20.01	mean	-20.01	-20.27	807.0	32.90	NAVD88	11
291210095484001	-95.811	29.203	4.33	mean	4.33	4.36	473.0	55.15	NAVD88	10
291228095283001	-95.475	29.208	2.02	median	2.02	2.02	210.0	34.50	NAVD88	1
291545095202401	-95.341	29.263	-5.10	mean	-5.10	-5.23	514.0	26.00	NAVD88	10
291641095151901	-95.256	29.278	-1.67	median	-1.67	-1.67	335.0	14.62	NAVD88	1
291759095391401	-95.654	29.300	-10.47	median	-10.49	-10.47	482.0	55.29	NAVD88	11
291808095261701	-95.438	29.302	-15.17	mean	-15.17	-15.19	1168.0	40.26	NAVD88	9
291859095152601	-95.257	29.317	-14.76	mean	-14.76	-14.59	350.0	24.77	NAVD88	8
291919095485101	-95.814	29.322	-5.35	median	-5.35	-5.35	871.0	74.75	NAVD88	1
291948095135401	-95.232	29.330	-19.06	mean	-19.06	-19.04	400.0	20.41	NAVD88	10
291949095024801	-95.047	29.331	-22.43	mean	-22.43	-22.94	756.0	19.74	NAVD88	15
292000094461601	-94.771	29.334	-14.26	median	-14.26	-14.26	860.0	5.99	NAVD88	1
292007094575401	-94.965	29.336	-27.01	median	-26.18	-27.01	634.0	6.47	NAVD88	3
292037095010501	-95.018	29.344	-24.27	median	-24.27	-24.27	1080.0	14.01	NAVD88	2
