Well_ID	Longitude	Latitude	GWLm	method	mean	median	well_constructed_depth	altitude	vertical_datum	Counts
285537095214001	-95.362	28.927	-6.73	median	-7.12	-6.73	224.0	4.85	NAVD88	3
285654095215101	-95.364	28.949	-8.03	mean	-8.03	-8.12	249.0	4.91	NAVD88	6
285655095172302	-95.290	28.949	-12.16	median	-12.19	-12.16	300.0	4.91	NAVD88	6
285744095212102	-95.356	28.962	-7.17	mean	-7.17	-7.28	258.0	4.91	NAVD88	6
290000095192602	-95.325	29.000	-8.85	mean	-8.85	-9.11	232.0	4.98	NAVD88	6
290100095253201	-95.426	29.016	-22.53	mean	-22.53	-22.14	332.0	9.75	NAVD88	6
290142095111801	-95.188	29.028	-1.99	mean	-1.99	-1.99	335.0	5.00	NAVD88	7
290159095262701	-95.441	29.033	-26.92	mean	-26.92	-26.76	332.0	13.04	NAVD88	6
290213095240501	-95.401	29.037	-4.23	mean	-4.23	-4.44	212.0	15.78	NAVD88	6
290214095421101	-95.703	29.037	0.56	median	-1.34	0.56	226.0	34.23	NAVD88	6
290320095253801	-95.427	29.056	-21.89	mean	-21.89	-21.30	338.0	17.06	NAVD88	6
290320095261701	-95.438	29.056	-23.04	mean	-23.04	-22.94	335.0	18.00	NAVD88	6
290346095243601	-95.410	29.063	-3.42	median	-3.42	-3.42	340.0	14.03	NAVD88	2
290410095353401	-95.593	29.069	-12.69	mean	-12.69	-12.88	420.0	27.00	NAVD88	5
290446095405101	-95.681	29.079	-5.87	median	-5.87	-5.87	450.0	19.00	NAVD88	1
290728095214301	-95.362	29.124	-5.65	mean	-5.65	-5.65	401.0	5.00	NAVD88	6
290834095384201	-95.645	29.143	-13.24	mean	-13.24	-13.14	659.0	34.28	NAVD88	6
291138095261501	-95.438	29.194	-14.45	median	-14.58	-14.45	819.0	29.96	NAVD88	6
291201095200701	-95.336	29.201	-4.49	median	-4.11	-4.49	960.0	14.20	NAVD88	6
291210095484001	-95.811	29.203	2.09	median	2.09	2.09	473.0	55.15	NAVD88	2
291305095352201	-95.589	29.220	-11.21	mean	-11.21	-11.09	867.0	35.01	NAVD88	5
291338095202401	-95.340	29.227	2.09	median	2.05	2.09	235.0	20.27	NAVD88	5
291344095205101	-95.348	29.229	-2.55	median	-2.83	-2.55	304.0	23.84	NAVD88	5
291359095113401	-95.193	29.233	-15.30	mean	-15.30	-14.71	898.0	13.38	NAVD88	6
291545095202401	-95.341	29.263	2.04	median	1.92	2.04	514.0	26.00	NAVD88	4
291855095265901	-95.450	29.316	-9.49	mean	-9.49	-9.29	400.0	45.00	NAVD88	5
291919095485101	-95.814	29.322	5.93	mean	5.93	6.13	871.0	74.75	NAVD88	7
291948095135401	-95.232	29.330	-17.79	mean	-17.79	-17.88	400.0	20.41	NAVD88	6
291949095024801	-95.047	29.331	-14.65	mean	-14.65	-14.70	756.0	19.74	NAVD88	7
292037095010501	-95.018	29.344	-13.44	mean	-13.44	-13.52	1080.0	14.01	NAVD88	6
292054095171901	-95.289	29.349	-12.21	mean	-12.21	-12.19	473.0	29.75	NAVD88	5
292054095371301	-95.621	29.349	-11.77	median	-12.03	-11.77	874.0	57.42	NAVD88	7
292204095281301	-95.471	29.368	-8.71	median	-9.06	-8.71	923.0	50.08	NAVD88	3
292207094544001	-94.911	29.369	-11.84	mean	-11.84	-11.70	645.0	6.65	NAVD88	5
292208095042701	-95.074	29.369	-16.77	mean	-16.77	-16.62	775.0	19.53	NAVD88	7
292233094541501	-94.904	29.376	-12.23	median	-15.05	-12.23	771.0	10.45	NAVD88	5
292303094553201	-94.926	29.384	-11.28	mean	-11.28	-11.11	728.0	13.44	NAVD88	6
292314094563001	-94.942	29.387	-9.02	mean	-9.02	-8.58	702.0	9.99	NAVD88	6
292324094573801	-94.961	29.390	-12.23	mean	-12.23	-12.20	737.0	9.76	NAVD88	6
292335095133501	-95.226	29.393	-27.47	mean	-27.47	-27.80	728.0	38.69	NAVD88	6
292337094542801	-94.908	29.394	-11.54	median	-12.37	-11.54	772.0	9.86	NAVD88	6
292338095063601	-95.110	29.394	-19.98	mean	-19.98	-19.81	870.0	27.82	NAVD88	28
292354095505301	-95.848	29.398	7.38	mean	7.38	7.38	518.0	90.01	NAVD88	6
292356095475701	-95.799	29.399	-2.72	median	-1.70	-2.72	675.0	84.00	NAVD88	7
292403095052601	-95.091	29.401	-20.92	mean	-20.92	-20.60	771.0	25.88	NAVD88	7
292439094553101	-94.926	29.411	-14.09	mean	-14.09	-13.91	785.0	6.03	NAVD88	6
292443095045201	-95.081	29.412	-21.77	mean	-21.77	-21.71	781.0	24.94	NAVD88	7
292456095560101	-95.934	29.416	13.22	mean	13.22	13.75	564.0	95.08	NAVD88	6
292458094534201	-94.895	29.416	-4.60	mean	-4.60	-4.50	210.0	5.30	NAVD88	21
292458094534202	-94.895	29.416	-7.32	mean	-7.32	-7.30	302.0	5.30	NAVD88	22
292458094534203	-94.895	29.416	-8.33	mean	-8.33	-8.29	400.0	5.30	NAVD88	21
292458094534204	-94.895	29.416	-12.93	mean	-12.93	-12.69	535.0	5.30	NAVD88	21
292458094534205	-94.895	29.416	-13.18	mean	-13.18	-13.14	1060.0	5.30	NAVD88	21
292458094534206	-94.895	29.416	-12.68	mean	-12.68	-12.66	800.0	5.87	NAVD88	74
292459095451901	-95.756	29.417	9.47	median	10.22	9.47	636.0	73.58	NAVD88	7
292528095272301	-95.456	29.424	-30.51	mean	-30.51	-30.76	920.0	56.00	NAVD88	5
292534095044501	-95.079	29.426	-22.18	mean	-22.18	-22.03	810.0	21.27	NAVD88	7
292535095151801	-95.255	29.427	-34.89	mean	-34.89	-35.27	690.0	42.44	NAVD88	4
292548094565601	-94.949	29.430	-2.17	median	-2.80	-2.17	692.0	4.98	NAVD88	3
292552095244401	-95.412	29.431	-34.89	mean	-34.89	-35.14	1158.0	47.00	NAVD88	4
292603095150901	-95.253	29.435	-36.63	mean	-36.63	-36.69	702.0	42.66	NAVD88	6
292605095571301	-95.954	29.435	13.67	mean	13.67	13.65	590.0	94.92	NAVD88	7
292619095060601	-95.102	29.439	-24.26	mean	-24.26	-24.07	750.0	16.77	NAVD88	7
292644095261601	-95.438	29.446	-37.21	median	-36.87	-37.21	1124.0	55.00	NAVD88	3
292653095233301	-95.392	29.448	-34.40	mean	-34.40	-34.83	1133.0	50.00	NAVD88	7
292841094584901	-94.984	29.481	-18.45	mean	-18.45	-18.41	660.0	10.71	NAVD88	4
292848094590001	-94.981	29.478	-19.77	mean	-19.77	-19.73	651.0	10.42	NAVD88	6
292900094585501	-94.983	29.483	-20.38	mean	-20.38	-20.33	664.0	12.66	NAVD88	5
292913094584301	-94.979	29.487	-19.81	mean	-19.81	-20.12	666.0	11.49	NAVD88	6
292918095235901	-95.400	29.489	-42.60	median	-42.60	-42.60	1047.0	55.00	NAVD88	1
292923095091601	-95.155	29.490	-28.22	mean	-28.22	-27.52	730.0	27.72	NAVD88	7
292927095195801	-95.333	29.491	-14.77	mean	-14.77	-14.77	480.0	55.98	NAVD88	6
292935094583301	-94.978	29.492	-20.44	mean	-20.44	-20.17	670.0	11.47	NAVD88	5
292941094563001	-94.942	29.495	-14.21	mean	-14.21	-14.17	670.0	9.81	NAVD88	6
292944095550101	-95.917	29.496	2.60	median	2.15	2.60	975.0	108.40	NAVD88	7
292951095335201	-95.565	29.498	-11.94	median	-11.61	-11.94	375.0	59.80	NAVD88	6
292953095460301	-95.768	29.498	-14.58	mean	-14.58	-14.22	1097.0	80.75	NAVD88	6
293000095171201	-95.256	29.550	-33.29	mean	-33.29	-33.74	620.0	44.70	NAVD88	6
293001095274601	-95.463	29.501	-9.17	mean	-9.17	-9.11	524.0	63.21	NAVD88	7
293005095151801	-95.255	29.515	-19.54	mean	-19.54	-19.56	591.0	40.74	NAVD88	6
293006095492501	-95.824	29.502	-18.93	median	-19.83	-18.93	1402.0	93.17	NAVD88	7
293007096002001	-96.006	29.502	18.66	median	18.65	18.66	270.0	111.49	NAVD88	3
293043095053301	-95.093	29.512	-28.29	mean	-28.29	-28.69	710.0	15.54	NAVD88	7
293107095280001	-95.467	29.519	-42.40	mean	-42.40	-42.14	1398.0	67.17	NAVD88	7
293113095220001	-95.370	29.521	-20.69	mean	-20.69	-20.80	370.0	62.37	NAVD88	6
293114096001001	-96.003	29.521	18.44	median	18.44	18.44	304.0	114.97	NAVD88	2
293132095283301	-95.476	29.526	-41.44	mean	-41.44	-41.35	1320.0	72.49	NAVD88	6
293140095325001	-95.547	29.528	-40.46	mean	-40.46	-39.85	1300.0	54.29	NAVD88	7
293142095545501	-95.916	29.528	12.93	median	12.93	12.93	344.0	110.00	NAVD88	2
293156094515501	-94.866	29.532	-15.43	median	-15.43	-15.43	683.0	0.00	NAVD88	1
293202095070301	-95.118	29.533	-30.26	mean	-30.26	-30.44	645.0	20.65	NAVD88	7
293219095485701	-95.816	29.539	-19.08	mean	-19.08	-19.90	1313.0	99.48	NAVD88	6
293222095020301	-95.034	29.540	-27.36	mean	-27.36	-27.18	590.0	6.86	NAVD88	6
293226095471601	-95.788	29.541	-28.21	mean	-28.21	-27.64	1580.0	94.17	NAVD88	6
293235095251402	-95.421	29.543	-24.45	median	-24.45	-24.45	391.0	65.00	NAVD88	2
293237095504801	-95.847	29.544	-23.81	mean	-23.81	-24.35	1178.0	102.96	NAVD88	7
293243095165201	-95.281	29.546	-36.46	mean	-36.46	-36.94	830.0	47.71	NAVD88	5
293245095414801	-95.697	29.546	-18.18	mean	-18.18	-18.04	840.0	81.17	NAVD88	7
293246095072501	-95.125	29.547	-25.48	mean	-25.48	-24.71	694.0	21.14	NAVD88	7
293247095054601	-95.096	29.546	-30.63	mean	-30.63	-30.27	680.0	16.22	NAVD88	7
293253095141001	-95.236	29.548	-30.06	mean	-30.06	-29.69	617.0	37.85	NAVD88	5
293306095050801	-95.084	29.552	-28.22	mean	-28.22	-28.32	680.0	12.12	NAVD88	7
293306095054101	-95.096	29.552	-26.86	mean	-26.86	-26.68	770.0	19.65	NAVD88	54
293312095334601	-95.561	29.553	-39.04	mean	-39.04	-39.53	1065.0	70.28	NAVD88	6
293314095474702	-95.796	29.553	-26.38	mean	-26.38	-28.68	1604.0	101.33	NAVD88	7
293321095311401	-95.521	29.556	-38.44	mean	-38.44	-38.45	1100.0	74.19	NAVD88	7
293332095411301	-95.687	29.559	-58.59	mean	-58.59	-57.86	1942.0	70.47	NAVD88	7
293338095451901	-95.756	29.561	6.14	median	6.14	6.14	500.0	92.31	NAVD88	1
293340095400501	-95.667	29.561	-58.05	mean	-58.05	-58.28	1964.0	70.65	NAVD88	6
293342095333601	-95.560	29.561	-38.08	mean	-38.08	-38.37	1074.0	70.18	NAVD88	7
293344095082301	-95.140	29.563	-30.01	mean	-30.01	-30.06	635.0	32.37	NAVD88	6
293348095070601	-95.119	29.564	-4.14	median	-3.08	-4.14	1232.0	18.93	NAVD88	11
293348095070602	-95.119	29.564	-22.36	mean	-22.36	-21.98	392.0	18.93	NAVD88	14
293348095070603	-95.119	29.564	-31.09	mean	-31.09	-30.94	957.0	18.93	NAVD88	19
293349095070901	-95.119	29.564	-23.64	median	-20.91	-23.64	1740.0	19.68	NAVD88	27
293352095011601	-95.021	29.565	-27.21	mean	-27.21	-27.03	1381.0	8.28	NAVD88	80
293352095011602	-95.021	29.565	-27.35	mean	-27.35	-26.98	1381.0	8.05	NAVD88	19
293352095011603	-95.021	29.565	-26.55	mean	-26.55	-26.49	1308.0	8.05	NAVD88	8
293352095011605	-95.021	29.565	-17.22	mean	-17.22	-17.19	300.0	8.05	NAVD88	21
293352095011606	-95.021	29.565	-26.90	mean	-26.90	-26.79	920.0	8.05	NAVD88	21
293356095405901	-95.683	29.566	-54.28	mean	-54.28	-54.86	1784.0	72.65	NAVD88	7
293357095070801	-95.119	29.566	-31.30	mean	-31.30	-29.16	630.0	19.77	NAVD88	7
293401095054301	-95.095	29.567	-29.21	mean	-29.21	-29.00	629.0	16.23	NAVD88	7
293401095293002	-95.492	29.401	-18.64	mean	-18.64	-18.84	537.0	60.09	NAVD88	6
293424095330701	-95.552	29.574	-40.43	mean	-40.43	-40.95	1200.0	65.75	NAVD88	7
293424095330702	-95.552	29.573	-42.67	mean	-42.67	-43.64	1320.0	67.65	NAVD88	7
293431095341801	-95.575	29.581	-39.75	mean	-39.75	-40.38	1188.0	68.63	NAVD88	7
293434095311501	-95.521	29.576	-38.91	mean	-38.91	-39.00	1308.0	76.21	NAVD88	6
293446095033901	-95.061	29.580	-27.80	mean	-27.80	-27.70	660.0	15.15	NAVD88	7
293453095283501	-95.477	29.582	-43.19	mean	-43.19	-42.85	565.0	68.44	NAVD88	6
293455095375701	-95.633	29.582	-18.90	median	-15.97	-18.90	463.0	70.03	NAVD88	5
293458095454301	-95.762	29.583	-0.69	median	-0.26	-0.69	518.0	90.75	NAVD88	7
293458095454501	-95.763	29.583	-0.14	median	0.32	-0.14	431.0	90.13	NAVD88	7
293506095481101	-95.803	29.585	7.93	mean	7.93	7.76	305.0	88.36	NAVD88	4
293512095330301	-95.551	29.587	-41.38	mean	-41.38	-41.49	1110.0	71.48	NAVD88	7
293523095483701	-95.810	29.590	-5.83	median	-6.11	-5.83	659.0	90.07	NAVD88	7
293523095483702	-95.810	29.590	1.35	median	1.28	1.35	460.0	90.08	NAVD88	7
293527095271501	-95.454	29.591	-47.48	mean	-47.48	-48.12	1050.0	61.46	NAVD88	7
293539095054201	-95.098	29.593	-29.01	mean	-29.01	-28.72	610.0	17.28	NAVD88	7
293543095274901	-95.464	29.596	-49.47	median	-59.98	-49.47	1220.0	63.26	NAVD88	11
293545095413301	-95.690	29.596	-26.16	mean	-26.16	-27.23	1058.0	74.94	NAVD88	7
293546095374901	-95.631	29.596	-54.06	mean	-54.06	-55.35	1724.0	71.26	NAVD88	7
293606095555301	-95.932	29.602	18.93	median	18.93	18.93	292.0	111.36	NAVD88	1
293610095225601	-95.382	29.603	-29.65	mean	-29.65	-29.71	315.0	53.00	NAVD88	4
293628095312801	-95.524	29.607	-45.10	mean	-45.10	-45.09	1256.0	72.32	NAVD88	6
293637095224801	-95.380	29.610	-46.51	mean	-46.51	-47.21	838.0	56.00	NAVD88	5
293720095293501	-95.493	29.622	-47.77	median	-53.27	-47.77	1025.0	61.00	NAVD88	8
