Well_ID	Longitude	Latitude	GWLm	method	mean	median	well_constructed_depth	altitude	vertical_datum	Counts
285537095214001	-95.362	28.927	-7.46	mean	-7.46	-7.46	224.0	4.85	NAVD88	9
285654095215101	-95.364	28.949	-7.87	mean	-7.87	-7.79	249.0	4.91	NAVD88	12
285655095172302	-95.290	28.949	-12.16	median	-12.25	-12.16	300.0	4.91	NAVD88	12
285744095212102	-95.356	28.962	-6.25	median	-6.47	-6.25	258.0	4.91	NAVD88	12
285749095162201	-95.273	28.964	-12.23	median	-11.82	-12.23	300.0	4.91	NAVD88	3
285919095344701	-95.581	28.989	-11.95	mean	-11.95	-11.77	506.0	13.66	NAVD88	6
290000095192602	-95.325	29.000	-9.12	mean	-9.12	-9.11	232.0	4.98	NAVD88	12
290100095253201	-95.426	29.016	-22.53	mean	-22.53	-22.14	332.0	9.75	NAVD88	6
290142095111801	-95.188	29.028	-1.99	mean	-1.99	-1.99	335.0	5.00	NAVD88	7
290159095262701	-95.441	29.033	-26.92	mean	-26.92	-26.76	332.0	13.04	NAVD88	6
290213095240501	-95.401	29.037	-4.50	median	-4.96	-4.50	212.0	15.78	NAVD88	12
290214095421101	-95.703	29.037	0.71	median	-0.23	0.71	226.0	34.23	NAVD88	12
290320095253801	-95.427	29.056	-21.89	mean	-21.89	-21.30	338.0	17.06	NAVD88	6
290320095261701	-95.438	29.056	-23.04	mean	-23.04	-22.94	335.0	18.00	NAVD88	6
290346095243601	-95.410	29.063	-4.94	median	-5.02	-4.94	340.0	14.03	NAVD88	8
290410095353401	-95.593	29.069	-12.69	mean	-12.69	-12.88	420.0	27.00	NAVD88	5
290446095405101	-95.681	29.079	-5.87	median	-5.87	-5.87	450.0	19.00	NAVD88	1
290728095214301	-95.362	29.124	-5.65	mean	-5.65	-5.65	401.0	5.00	NAVD88	6
290834095384201	-95.645	29.143	-12.50	mean	-12.50	-11.91	659.0	34.28	NAVD88	11
291138095261501	-95.438	29.194	-13.95	median	-13.91	-13.95	819.0	29.96	NAVD88	12
291201095200701	-95.336	29.201	-6.44	median	-5.64	-6.44	960.0	14.20	NAVD88	12
291210095484001	-95.811	29.203	1.81	median	1.87	1.81	473.0	55.15	NAVD88	6
291305095352201	-95.589	29.220	-11.00	mean	-11.00	-10.96	867.0	35.01	NAVD88	11
291338095202401	-95.340	29.227	2.17	median	2.06	2.17	235.0	20.27	NAVD88	10
291344095205101	-95.348	29.229	-2.50	median	-2.25	-2.50	304.0	23.84	NAVD88	11
291359095113401	-95.193	29.233	-14.53	mean	-14.53	-13.94	898.0	13.38	NAVD88	12
291545095202401	-95.341	29.263	2.04	median	0.26	2.04	514.0	26.00	NAVD88	10
291855095265901	-95.450	29.316	-9.49	mean	-9.49	-9.29	400.0	45.00	NAVD88	5
291859095152601	-95.257	29.317	-16.77	mean	-16.77	-16.79	350.0	24.77	NAVD88	4
291919095485101	-95.814	29.322	5.83	mean	5.83	5.90	871.0	74.75	NAVD88	12
291948095135401	-95.232	29.330	-17.36	mean	-17.36	-17.12	400.0	20.41	NAVD88	12
291949095024801	-95.047	29.331	-14.55	mean	-14.55	-14.52	756.0	19.74	NAVD88	13
292037095010501	-95.018	29.344	-13.28	mean	-13.28	-13.35	1080.0	14.01	NAVD88	12
292054095171901	-95.289	29.349	-12.19	mean	-12.19	-12.19	473.0	29.75	NAVD88	11
292054095371301	-95.621	29.349	-10.54	median	-11.40	-10.54	874.0	57.42	NAVD88	12
292138095435801	-95.733	29.361	6.63	median	6.63	6.63	1195.0	74.80	NAVD88	1
292146095410301	-95.684	29.363	-7.92	median	-8.77	-7.92	1158.0	69.39	NAVD88	5
292204095281301	-95.471	29.368	-9.46	mean	-9.46	-9.17	923.0	50.08	NAVD88	9
292207094544001	-94.911	29.369	-11.35	mean	-11.35	-10.91	645.0	6.65	NAVD88	11
292208095042701	-95.074	29.369	-16.57	mean	-16.57	-16.54	775.0	19.53	NAVD88	12
292218095390801	-95.653	29.372	-11.58	median	-11.58	-11.58	1155.0	70.01	NAVD88	2
292233094541501	-94.904	29.376	-11.87	median	-13.98	-11.87	771.0	10.45	NAVD88	8
292246095553601	-95.927	29.380	7.52	median	7.52	7.52	363.0	86.54	NAVD88	2
292303094553201	-94.926	29.384	-11.17	mean	-11.17	-11.10	728.0	13.44	NAVD88	12
292314094563001	-94.942	29.387	-8.73	mean	-8.73	-8.53	702.0	9.99	NAVD88	12
292324094573801	-94.961	29.390	-12.06	mean	-12.06	-11.98	737.0	9.76	NAVD88	12
292335095133501	-95.226	29.393	-27.56	mean	-27.56	-27.77	728.0	38.69	NAVD88	12
292337094542801	-94.908	29.394	-10.67	median	-11.62	-10.67	772.0	9.86	NAVD88	12
292338095063601	-95.110	29.394	-19.97	mean	-19.97	-19.91	870.0	27.82	NAVD88	48
292354095505301	-95.848	29.398	7.37	mean	7.37	7.44	518.0	90.01	NAVD88	11
292356095475701	-95.799	29.399	-2.35	median	-1.71	-2.35	675.0	84.00	NAVD88	8
292403095052601	-95.091	29.401	-20.70	mean	-20.70	-20.58	771.0	25.88	NAVD88	12
292439094553101	-94.926	29.411	-13.86	mean	-13.86	-13.66	785.0	6.03	NAVD88	12
292443095045201	-95.081	29.412	-21.51	mean	-21.51	-21.39	781.0	24.94	NAVD88	12
292456095560101	-95.934	29.416	13.18	mean	13.18	13.40	564.0	95.08	NAVD88	11
292458094534201	-94.895	29.416	-4.68	mean	-4.68	-4.64	210.0	5.30	NAVD88	39
292458094534202	-94.895	29.416	-7.39	mean	-7.39	-7.37	302.0	5.30	NAVD88	40
292458094534203	-94.895	29.416	-8.35	mean	-8.35	-8.33	400.0	5.30	NAVD88	39
292458094534204	-94.895	29.416	-12.54	mean	-12.54	-12.26	535.0	5.30	NAVD88	39
292458094534205	-94.895	29.416	-13.19	mean	-13.19	-13.17	1060.0	5.30	NAVD88	39
292458094534206	-94.895	29.416	-12.72	mean	-12.72	-12.65	800.0	5.87	NAVD88	132
292459095451901	-95.756	29.417	9.88	mean	9.88	9.50	636.0	73.58	NAVD88	12
292528095272301	-95.456	29.424	-30.51	mean	-30.51	-30.76	920.0	56.00	NAVD88	5
292534095044501	-95.079	29.426	-21.98	mean	-21.98	-21.84	810.0	21.27	NAVD88	12
292535095151801	-95.255	29.427	-34.73	mean	-34.73	-34.53	690.0	42.44	NAVD88	10
292548094565601	-94.949	29.430	-6.47	median	-6.02	-6.47	692.0	4.98	NAVD88	9
292552095244401	-95.412	29.431	-34.89	mean	-34.89	-35.14	1158.0	47.00	NAVD88	4
292603095150901	-95.253	29.435	-35.54	mean	-35.54	-35.19	702.0	42.66	NAVD88	12
292605095571301	-95.954	29.435	13.54	mean	13.54	13.57	590.0	94.92	NAVD88	12
292619095060601	-95.102	29.439	-24.03	mean	-24.03	-23.74	750.0	16.77	NAVD88	12
292644095261601	-95.438	29.446	-37.21	median	-36.87	-37.21	1124.0	55.00	NAVD88	3
292653095233301	-95.392	29.448	-33.67	mean	-33.67	-33.30	1133.0	50.00	NAVD88	8
