Well_ID	Longitude	Latitude	GWLm	method	mean	median	well_constructed_depth	altitude	vertical_datum	Counts
285414095323901	-95.544	28.904	1.40	median	1.40	1.40	587.0	9.52	NAVD88	1
285537095214001	-95.362	28.927	-39.67	mean	-39.67	-39.66	224.0	4.85	NAVD88	47
285541095225401	-95.382	28.928	-41.86	mean	-41.86	-42.12	248.0	5.31	NAVD88	46
285607095210701	-95.352	28.936	-39.30	mean	-39.30	-39.14	252.0	4.91	NAVD88	58
285629095192801	-95.325	28.942	-38.31	mean	-38.31	-36.95	254.0	4.91	NAVD88	7
285633095224301	-95.379	28.943	-43.68	mean	-43.68	-43.58	246.0	6.59	NAVD88	56
285648095202101	-95.339	28.947	-38.64	mean	-38.64	-38.58	249.0	5.09	NAVD88	4
285654095215101	-95.364	28.949	-44.37	mean	-44.37	-44.38	249.0	4.91	NAVD88	6
285703095191001	-95.320	28.951	-38.27	mean	-38.27	-38.37	250.0	5.22	NAVD88	64
285715095202701	-95.341	28.954	-35.68	median	-35.68	-35.68	248.0	4.91	NAVD88	1
285725095164601	-95.280	28.957	-3.75	median	-3.75	-3.75	401.0	4.91	NAVD88	1
285727095205801	-95.350	28.958	-40.01	mean	-40.01	-39.99	258.0	4.91	NAVD88	63
285807095232801	-95.391	28.969	-14.85	mean	-14.85	-14.41	212.0	6.84	NAVD88	58
285919095344701	-95.581	28.989	-5.87	mean	-5.87	-5.75	506.0	13.66	NAVD88	8
285925095213801	-95.361	28.991	-17.05	median	-17.05	-17.05	319.0	5.01	NAVD88	1
285938095234002	-95.395	28.994	-17.57	mean	-17.57	-17.71	233.0	9.37	NAVD88	63
285944095240801	-95.403	28.996	-17.57	mean	-17.57	-17.46	240.0	6.78	NAVD88	62
285946095220901	-95.369	28.996	-16.77	median	-16.77	-16.77	220.0	4.91	NAVD88	1
290125095113701	-95.194	29.024	-4.04	median	-4.04	-4.04	319.0	4.96	NAVD88	1
290209095265101	-95.448	29.036	-26.63	median	-25.66	-26.63	323.0	12.09	NAVD88	34
290210095261601	-95.438	29.036	-24.81	mean	-24.81	-25.29	328.0	14.32	NAVD88	35
290216095262901	-95.442	29.038	-9.86	mean	-9.86	-9.60	250.0	14.33	NAVD88	59
290218095262901	-95.442	29.039	-27.56	mean	-27.56	-27.81	340.0	14.50	NAVD88	27
290225095263701	-95.444	29.041	-26.80	mean	-26.80	-26.73	340.0	14.76	NAVD88	26
290237095265102	-95.448	29.044	-26.81	median	-25.61	-26.81	338.0	15.91	NAVD88	34
290333095204201	-95.345	29.059	-7.80	median	-7.80	-7.80	220.0	8.85	NAVD88	1
290356095201801	-95.339	29.066	-9.61	median	-9.61	-9.61	280.0	10.01	NAVD88	1
290408095201601	-95.338	29.069	-25.98	median	-25.98	-25.98	282.0	8.20	NAVD88	1
290422095202501	-95.341	29.073	-9.26	median	-9.26	-9.26	290.0	7.12	NAVD88	1
290429095072802	-95.125	29.075	-0.32	median	-0.32	-0.32	211.0	4.97	NAVD88	1
290754095033502	-95.060	29.132	-4.34	median	-4.34	-4.34	300.0	5.00	NAVD88	1
290818095025201	-95.048	29.139	-7.45	median	-7.06	-7.45	300.0	4.96	NAVD88	3
290834095384201	-95.645	29.143	-7.30	median	-7.29	-7.30	659.0	34.28	NAVD88	4
290938095371601	-95.621	29.161	2.74	median	2.74	2.74	220.0	28.84	NAVD88	1
290939095480601	-95.802	29.161	3.27	median	2.35	3.27	500.0	49.97	NAVD88	6
291005095374801	-95.630	29.168	-11.43	median	-11.43	-11.43	640.0	33.13	NAVD88	1
291055095482501	-95.807	29.182	2.71	median	2.69	2.71	399.0	52.94	NAVD88	12
291103095322801	-95.541	29.184	-0.20	median	-0.20	-0.20	434.0	35.37	NAVD88	1
291114095213001	-95.359	29.188	3.01	mean	3.01	3.04	335.0	15.01	NAVD88	6
291125095372301	-95.623	29.191	-24.81	median	-24.81	-24.81	421.0	33.96	NAVD88	1
291136095373101	-95.626	29.194	-23.30	median	-23.30	-23.30	417.0	34.83	NAVD88	1
291201095200701	-95.336	29.201	-17.16	mean	-17.16	-17.36	960.0	14.20	NAVD88	12
291204095264001	-95.445	29.201	-13.81	mean	-13.81	-14.31	807.0	32.90	NAVD88	11
291210095484001	-95.811	29.203	2.07	median	1.65	2.07	473.0	55.15	NAVD88	6
291338095202401	-95.340	29.227	1.94	median	1.94	1.94	235.0	20.27	NAVD88	1
291545095202401	-95.341	29.263	-6.63	median	-6.86	-6.63	514.0	26.00	NAVD88	5
291759095391401	-95.654	29.300	-5.25	median	-7.27	-5.25	482.0	55.29	NAVD88	11
291808095261701	-95.438	29.302	-11.53	mean	-11.53	-11.64	1168.0	40.26	NAVD88	6
291843095321401	-95.537	29.312	-10.79	median	-10.79	-10.79	885.0	40.18	NAVD88	1
291859095152601	-95.257	29.317	-14.88	mean	-14.88	-15.03	350.0	24.77	NAVD88	5
291948095135401	-95.232	29.330	-22.24	mean	-22.24	-22.84	400.0	20.41	NAVD88	11
291949095024801	-95.047	29.331	-28.71	mean	-28.71	-28.73	756.0	19.74	NAVD88	11
292007094575401	-94.965	29.336	-41.10	median	-41.10	-41.10	634.0	6.47	NAVD88	1
292037095010501	-95.018	29.344	-28.18	mean	-28.18	-28.39	1080.0	14.01	NAVD88	9
292050095010501	-95.018	29.348	-30.63	mean	-30.63	-29.36	790.0	16.04	NAVD88	6
292050095010801	-95.019	29.348	-35.72	mean	-35.72	-37.49	720.0	16.34	NAVD88	9
292054095171901	-95.289	29.349	-11.75	mean	-11.75	-11.93	473.0	29.75	NAVD88	7
292138095435801	-95.733	29.361	0.24	median	-0.25	0.24	1195.0	74.80	NAVD88	6
292144095033601	-95.060	29.363	-32.68	mean	-32.68	-32.72	884.0	20.03	NAVD88	5
292151095035901	-95.067	29.364	-32.46	mean	-32.46	-32.09	888.0	20.49	NAVD88	10
292155095041001	-95.070	29.366	-33.85	mean	-33.85	-33.81	873.0	20.03	NAVD88	7
292155095451801	-95.755	29.366	-7.84	median	-7.84	-7.84	1184.0	76.72	NAVD88	1
292159095042101	-95.073	29.367	-32.09	mean	-32.09	-32.23	866.0	20.03	NAVD88	9
292203095043201	-95.076	29.368	-33.39	mean	-33.39	-33.25	843.0	23.70	NAVD88	9
292204095042901	-95.075	29.368	-34.72	mean	-34.72	-34.80	874.0	19.98	NAVD88	12
292204095043601	-95.077	29.368	-33.47	mean	-33.47	-33.48	836.0	24.67	NAVD88	10
292204095281301	-95.471	29.368	-6.37	mean	-6.37	-6.44	923.0	50.08	NAVD88	6
292205095043701	-95.077	29.368	-34.40	mean	-34.40	-34.15	850.0	24.16	NAVD88	73
292207094544001	-94.911	29.369	-60.52	median	-60.52	-60.52	645.0	6.65	NAVD88	1
292208095042701	-95.074	29.369	-32.88	median	-33.36	-32.88	775.0	19.53	NAVD88	3
292209095042801	-95.075	29.369	-36.59	mean	-36.59	-36.89	855.0	19.10	NAVD88	10
292210095044501	-95.079	29.370	-34.01	mean	-34.01	-34.16	840.0	24.62	NAVD88	12
292211094543301	-94.909	29.370	-26.38	mean	-26.38	-26.36	1042.0	7.53	NAVD88	4
292211095044501	-95.079	29.370	-33.32	mean	-33.32	-34.09	817.0	24.08	NAVD88	11
292239094570301	-94.951	29.378	-26.44	mean	-26.44	-26.57	1005.0	14.67	NAVD88	12
292305094554801	-94.930	29.385	-50.81	mean	-50.81	-51.62	715.0	13.48	NAVD88	8
292314094563001	-94.942	29.387	-43.95	mean	-43.95	-43.40	702.0	9.99	NAVD88	7
292324094573801	-94.961	29.390	-42.94	mean	-42.94	-43.16	737.0	9.76	NAVD88	13
292327094575901	-94.967	29.391	-49.80	mean	-49.80	-49.41	644.0	11.13	NAVD88	12
292330094542701	-94.908	29.392	-53.85	mean	-53.85	-53.73	764.0	9.67	NAVD88	13
292333094545001	-94.914	29.393	-52.59	mean	-52.59	-53.47	763.0	9.84	NAVD88	12
292336094550901	-94.919	29.394	-50.55	mean	-50.55	-50.13	768.0	5.28	NAVD88	11
292336095063301	-95.109	29.394	-38.68	mean	-38.68	-39.15	805.0	28.26	NAVD88	11
292337094542801	-94.908	29.394	-53.38	mean	-53.38	-53.36	772.0	9.86	NAVD88	12
292338095063601	-95.110	29.394	-39.60	mean	-39.60	-39.70	870.0	27.82	NAVD88	76
292350095002201	-95.006	29.398	-31.18	mean	-31.18	-31.10	874.0	20.00	NAVD88	11
292358095062001	-95.106	29.400	-41.44	mean	-41.44	-42.20	776.0	26.36	NAVD88	10
292359094544601	-94.913	29.400	-51.01	mean	-51.01	-50.53	772.0	5.00	NAVD88	15
292359095501601	-95.838	29.400	8.71	mean	8.71	8.85	435.0	92.24	NAVD88	4
292403095052601	-95.091	29.401	-41.93	mean	-41.93	-42.97	771.0	25.88	NAVD88	9
292405095052101	-95.089	29.402	-43.48	mean	-43.48	-43.85	770.0	25.20	NAVD88	11
292409095422501	-95.707	29.403	-12.60	median	-12.60	-12.60	520.0	66.36	NAVD88	1
292416095424701	-95.713	29.405	-12.26	median	-12.26	-12.26	520.0	67.04	NAVD88	1
292431094555601	-94.933	29.409	-28.61	mean	-28.61	-28.28	894.0	6.76	NAVD88	11
292439094553101	-94.926	29.411	-36.89	mean	-36.89	-37.19	785.0	6.03	NAVD88	12
292440095053801	-95.094	29.411	-40.74	mean	-40.74	-40.74	764.0	23.47	NAVD88	5
292443095045201	-95.081	29.412	-42.34	mean	-42.34	-42.06	781.0	24.94	NAVD88	5
292456095560101	-95.934	29.416	16.03	mean	16.03	15.94	564.0	95.08	NAVD88	5
292458094534201	-94.895	29.416	-8.71	mean	-8.71	-8.88	210.0	5.30	NAVD88	34
292458094534202	-94.895	29.416	-19.65	median	-19.65	-19.65	302.0	5.30	NAVD88	1
292458094534203	-94.895	29.416	-29.98	median	-29.98	-29.98	400.0	5.30	NAVD88	1
292458094534204	-94.895	29.416	-36.22	mean	-36.22	-36.24	535.0	5.30	NAVD88	31
292458094534205	-94.895	29.416	-27.97	mean	-27.97	-27.99	1060.0	5.30	NAVD88	34
292458094534206	-94.895	29.416	-27.32	mean	-27.32	-27.35	800.0	5.87	NAVD88	33
292458095441501	-95.738	29.416	-5.96	median	-5.96	-5.96	630.0	70.79	NAVD88	1
292459095451901	-95.756	29.417	7.91	mean	7.91	7.40	636.0	73.58	NAVD88	6
292500095451701	-95.755	29.417	3.32	mean	3.32	3.46	660.0	73.55	NAVD88	6
292508095141401	-95.237	29.419	-42.66	median	-42.66	-42.66	735.0	40.40	NAVD88	1
292516094560701	-94.936	29.421	-43.02	mean	-43.02	-42.59	656.0	5.00	NAVD88	12
292527095561701	-95.938	29.424	16.24	mean	16.24	16.19	403.0	95.20	NAVD88	6
292530095560701	-95.936	29.425	16.33	mean	16.33	16.48	240.0	94.98	NAVD88	4
292533095052101	-95.089	29.426	-46.52	mean	-46.52	-47.44	1212.0	15.30	NAVD88	11
292533095052701	-95.091	29.426	-44.36	median	-44.36	-44.36	770.0	18.77	NAVD88	1
292534095044501	-95.079	29.426	-44.59	median	-44.59	-44.59	810.0	21.27	NAVD88	2
292535095151802	-95.255	29.427	-47.29	median	-47.29	-47.29	685.0	42.44	NAVD88	1
292542095082301	-95.140	29.429	-45.22	mean	-45.22	-45.03	677.0	20.55	NAVD88	71
292548094565601	-94.949	29.430	-42.98	mean	-42.98	-42.56	692.0	4.98	NAVD88	12
292603095571401	-95.954	29.434	15.82	mean	15.82	16.59	591.0	95.13	NAVD88	4
292605095571301	-95.954	29.435	17.14	median	17.12	17.14	590.0	94.92	NAVD88	3
292611095012901	-95.025	29.437	-30.91	mean	-30.91	-30.95	700.0	17.85	NAVD88	11
292611095563901	-95.944	29.437	16.26	median	15.50	16.26	623.0	97.69	NAVD88	3
292617095065501	-95.116	29.438	-45.82	mean	-45.82	-45.26	736.0	18.93	NAVD88	5
292617095561201	-95.937	29.438	16.12	mean	16.12	16.04	376.0	96.52	NAVD88	6
292619095060601	-95.102	29.439	-46.05	median	-46.05	-46.05	750.0	16.77	NAVD88	2
292647095014901	-95.031	29.447	-32.00	mean	-32.00	-32.17	480.0	16.02	NAVD88	9
292724095045401	-95.082	29.457	-42.20	median	-42.20	-42.20	544.0	11.86	NAVD88	1
292832095211201	-95.354	29.476	-21.83	median	-21.83	-21.83	570.0	53.57	NAVD88	1
292838095375401	-95.632	29.477	-15.42	median	-15.42	-15.42	851.0	70.27	NAVD88	1
292841094584901	-94.984	29.481	-50.10	mean	-50.10	-49.22	660.0	10.71	NAVD88	16
292848094590001	-94.981	29.478	-52.81	mean	-52.81	-52.88	651.0	10.42	NAVD88	13
292852095210601	-95.352	29.481	13.71	median	13.71	13.71	202.0	56.24	NAVD88	1
292853095381301	-95.637	29.482	-7.58	mean	-7.58	-7.66	803.0	71.30	NAVD88	8
292859095380501	-95.635	29.483	-9.68	mean	-9.68	-10.11	853.0	67.91	NAVD88	8
292900094585501	-94.983	29.483	-51.01	mean	-51.01	-50.17	664.0	12.66	NAVD88	16
292903095375501	-95.632	29.484	-7.22	mean	-7.22	-7.33	702.0	72.84	NAVD88	8
292913094584301	-94.979	29.487	-50.87	mean	-50.87	-50.07	666.0	11.49	NAVD88	17
292916095563601	-95.944	29.488	11.83	median	11.83	11.83	1061.0	101.15	NAVD88	1
292927095195801	-95.333	29.491	-17.91	mean	-17.91	-18.14	480.0	55.98	NAVD88	9
292933094544002	-94.911	29.493	-9.55	mean	-9.55	-9.56	200.0	10.02	NAVD88	9
292935094583301	-94.978	29.492	-55.21	mean	-55.21	-54.41	670.0	11.47	NAVD88	7
292935095144601	-95.246	29.493	-38.44	median	-38.44	-38.44	386.0	38.01	NAVD88	1
292941094563001	-94.942	29.495	-51.21	median	-51.21	-51.21	670.0	9.81	NAVD88	1
293004095054601	-95.096	29.501	-56.17	median	-56.17	-56.17	760.0	19.81	NAVD88	1
293005095151801	-95.255	29.515	-48.10	mean	-48.10	-48.81	591.0	40.74	NAVD88	5
293008095330601	-95.552	29.503	-3.10	median	-3.02	-3.10	420.0	56.86	NAVD88	6
293023095273101	-95.459	29.507	-6.73	mean	-6.73	-7.01	459.0	63.84	NAVD88	10
293032095064301	-95.112	29.509	-55.18	mean	-55.18	-56.12	600.0	9.75	NAVD88	9
293034095150301	-95.251	29.510	-30.67	median	-30.67	-30.67	346.0	41.06	NAVD88	1
293039095053201	-95.093	29.511	-53.69	mean	-53.69	-53.91	560.0	15.43	NAVD88	13
293116095323101	-95.542	29.521	-17.05	median	-17.05	-17.05	560.0	54.99	NAVD88	1
293148095060801	-95.103	29.530	-65.61	mean	-65.61	-65.92	636.0	11.35	NAVD88	6
293156094515501	-94.866	29.532	-31.26	mean	-31.26	-31.29	683.0	0.00	NAVD88	5
293200095175201	-95.298	29.534	-32.18	median	-32.18	-32.18	318.0	46.20	NAVD88	1
293202095070301	-95.118	29.533	-61.18	mean	-61.18	-62.78	645.0	20.65	NAVD88	6
293207095061501	-95.104	29.535	-61.07	mean	-61.07	-62.51	664.0	18.37	NAVD88	11
293222095020301	-95.034	29.540	-55.63	mean	-55.63	-55.06	590.0	6.86	NAVD88	6
293228095282501	-95.474	29.541	-7.32	median	-7.32	-7.32	588.0	71.38	NAVD88	1
293229095352301	-95.590	29.542	-1.66	median	-1.66	-1.66	239.0	59.63	NAVD88	1
293229095352801	-95.591	29.542	-0.91	median	-0.91	-0.91	247.0	65.05	NAVD88	1
293304095344901	-95.581	29.551	-21.36	mean	-21.36	-21.91	448.0	66.12	NAVD88	11
293306095054101	-95.096	29.552	-49.27	mean	-49.27	-49.80	770.0	19.65	NAVD88	72
293308095395101	-95.664	29.552	-21.30	median	-21.30	-21.30	322.0	71.30	NAVD88	1
293311095200201	-95.334	29.553	-32.34	median	-32.34	-32.34	445.0	50.69	NAVD88	1
293312095071501	-95.121	29.554	-59.70	mean	-59.70	-60.20	660.0	20.16	NAVD88	6
293315095063401	-95.110	29.554	-60.68	mean	-60.68	-61.45	657.0	17.79	NAVD88	7
293316095563801	-95.944	29.555	13.08	median	13.08	13.08	793.0	115.20	NAVD88	1
293319095194901	-95.331	29.556	-28.41	median	-28.41	-28.41	320.0	51.37	NAVD88	1
293321095550901	-95.922	29.561	12.29	median	12.29	12.29	770.0	110.65	NAVD88	1
293342095333601	-95.560	29.561	-86.74	median	-86.74	-86.74	1074.0	70.18	NAVD88	1
293344095082301	-95.140	29.563	-57.70	mean	-57.70	-58.44	635.0	32.37	NAVD88	7
293352095011601	-95.021	29.565	-49.85	mean	-49.85	-50.03	1381.0	8.28	NAVD88	33
293352095011602	-95.021	29.565	-50.46	mean	-50.46	-50.60	1381.0	8.05	NAVD88	33
293352095011603	-95.021	29.565	-51.24	mean	-51.24	-50.71	1308.0	8.05	NAVD88	31
293352095011605	-95.021	29.565	-23.87	mean	-23.87	-23.86	300.0	8.05	NAVD88	31
293352095011606	-95.021	29.565	-59.05	mean	-59.05	-59.18	920.0	8.05	NAVD88	31
293353095011501	-95.021	29.565	-69.64	mean	-69.64	-69.74	543.0	9.03	NAVD88	9
293400095072601	-95.124	29.567	-62.49	mean	-62.49	-63.31	635.0	23.80	NAVD88	6
293402095054401	-95.096	29.567	-69.20	mean	-69.20	-69.57	600.0	17.87	NAVD88	50
293406095185401	-95.315	29.569	-28.12	median	-28.12	-28.12	299.0	49.28	NAVD88	1
293414095544501	-95.913	29.571	11.07	median	11.07	11.07	805.0	113.71	NAVD88	1
293416095170701	-95.286	29.572	-44.86	mean	-44.86	-44.49	1300.0	46.07	NAVD88	18
293416095221001	-95.370	29.571	-27.46	median	-27.46	-27.46	291.0	54.41	NAVD88	1
293424095031001	-95.053	29.574	-63.35	median	-63.35	-63.35	624.0	11.64	NAVD88	2
293425095590501	-95.985	29.574	14.71	median	14.71	14.71	937.0	117.46	NAVD88	1
293434095311501	-95.521	29.576	-40.85	median	-40.85	-40.85	1308.0	76.21	NAVD88	1
293443095014601	-95.030	29.579	-63.03	mean	-63.03	-62.97	665.0	14.87	NAVD88	5
293446095033901	-95.061	29.580	-65.59	mean	-65.59	-65.53	660.0	15.15	NAVD88	7
293450095165501	-95.282	29.581	-60.48	median	-60.48	-60.48	1062.0	46.90	NAVD88	1
293450095263001	-95.442	29.581	-20.34	median	-20.34	-20.34	365.0	62.38	NAVD88	1
293455095255602	-95.433	29.582	-49.33	median	-49.33	-49.33	596.0	60.87	NAVD88	1
293458095321001	-95.536	29.583	-34.66	median	-34.66	-34.66	1077.0	75.19	NAVD88	1
293503095135501	-95.232	29.584	-61.55	median	-61.55	-61.55	1162.0	36.46	NAVD88	1
293514095330201	-95.551	29.587	-40.43	median	-40.43	-40.43	1130.0	69.58	NAVD88	1
293523094594601	-94.996	29.590	-65.21	median	-65.21	-65.21	576.0	11.66	NAVD88	1
293528095140301	-95.234	29.591	-69.52	median	-69.52	-69.52	1403.0	36.73	NAVD88	1
293531095121401	-95.204	29.592	-70.67	median	-70.67	-70.67	1075.0	31.04	NAVD88	1
293539095051601	-95.088	29.594	-67.84	median	-67.84	-67.84	601.0	7.85	NAVD88	1
293541095374801	-95.630	29.595	-3.21	median	-3.21	-3.21	302.0	70.66	NAVD88	1
293543095134201	-95.229	29.596	-52.89	median	-52.89	-52.89	1135.0	32.39	NAVD88	1
293546095101501	-95.171	29.596	-56.92	median	-56.92	-56.92	558.0	28.39	NAVD88	1
293553095544801	-95.914	29.598	19.02	mean	19.02	19.14	435.0	112.60	NAVD88	5
293600094592702	-94.991	29.600	-67.59	median	-67.59	-67.59	612.0	12.98	NAVD88	1
293600095275901	-95.467	29.600	-48.65	mean	-48.65	-48.34	910.0	61.25	NAVD88	6
293604095554101	-95.928	29.601	19.80	median	20.00	19.80	280.0	111.25	NAVD88	3
293611095271902	-95.456	29.603	-58.37	median	-58.37	-58.37	1230.0	61.72	NAVD88	1
293612095405401	-95.682	29.604	-1.62	median	-1.62	-1.62	329.0	78.76	NAVD88	1
293617095292201	-95.490	29.605	-19.60	mean	-19.60	-19.33	820.0	67.98	NAVD88	5
293628095312801	-95.524	29.607	-43.61	median	-43.61	-43.61	1256.0	72.32	NAVD88	1
293636095133801	-95.228	29.610	-89.56	mean	-89.56	-89.70	1210.0	37.49	NAVD88	9
293638095164801	-95.280	29.611	-67.04	mean	-67.04	-67.20	1245.0	43.00	NAVD88	12
293638095355801	-95.600	29.611	-29.74	median	-29.74	-29.74	995.0	72.08	NAVD88	1
293641095545001	-95.914	29.612	20.09	mean	20.09	19.91	438.0	114.91	NAVD88	6
293643095355901	-95.600	29.612	-23.80	median	-23.80	-23.80	900.0	71.22	NAVD88	1
293644095045501	-95.082	29.613	-74.48	mean	-74.48	-74.71	618.0	13.50	NAVD88	4
