Well_ID,Longitude,Latitude,GWLm,altitude_m,well_depth_m,bottom_elevation_m,VHG_predicted_raw,VHG_predicted,VHG_observed,VHG_final,has_observed_VHG,period
290000095192602,-95.325000,29.000000,-10.390000,1.517904,70.713600,-69.195696,0.081038,0.081038,,0.081038,False,1990-1995
290018095295201,-95.498000,29.005000,-34.260000,4.419600,103.936800,-99.517200,0.044692,0.044692,,0.044692,False,1990-1995
290834095384201,-95.645000,29.143000,-12.320000,10.448544,200.863200,-190.414656,0.112706,0.112706,,0.112706,False,1990-1995
290939095480601,-95.802000,29.161000,2.320000,15.230856,152.400000,-137.169144,0.100396,0.100396,,0.100396,False,1990-1995
291055095482501,-95.807000,29.182000,1.750000,16.136112,121.615200,-105.479088,0.099260,0.099260,,0.099260,False,1990-1995
291114095213001,-95.359000,29.188000,2.810000,4.575048,102.108000,-97.532952,0.097074,0.097074,,0.097074,False,1990-1995
291201095200701,-95.336000,29.201000,-12.630000,4.328160,292.608000,-288.279840,0.075312,0.075312,,0.075312,False,1990-1995
291204095264001,-95.445000,29.201000,-15.500000,10.027920,245.973600,-235.945680,0.122131,0.122131,,0.122131,False,1990-1995
291210095484001,-95.811000,29.203000,1.460000,16.809720,144.170400,-127.360680,0.099465,0.099465,,0.099465,False,1990-1995
291305095352201,-95.589000,29.220000,-11.540000,10.671048,264.261600,-253.590552,0.097781,0.097781,,0.097781,False,1990-1995
291320095351401,-95.588000,29.223000,-6.790000,10.661904,259.689600,-249.027696,0.115531,0.115531,,0.115531,False,1990-1995
291344095205101,-95.348000,29.229000,-2.150000,7.266432,92.659200,-85.392768,0.082537,0.082537,,0.082537,False,1990-1995
291510095405201,-95.683000,29.253000,-8.270000,18.288000,270.357600,-252.069600,0.087693,0.087693,,0.087693,False,1990-1995
291545095202401,-95.341000,29.263000,-6.530000,7.924800,156.667200,-148.742400,0.079070,0.079070,,0.079070,False,1990-1995
291808095261701,-95.438000,29.302000,1.110000,12.271248,356.006400,-343.735152,0.104075,0.104075,,0.104075,False,1990-1995
291841095321601,-95.538000,29.312000,-18.950000,12.914376,266.700000,-253.785624,0.114858,0.114858,,0.114858,False,1990-1995
291859095152601,-95.257000,29.317000,-14.840000,7.549896,106.680000,-99.130104,0.078079,0.078079,,0.078079,False,1990-1995
291908095414901,-95.697000,29.319000,-8.030000,16.757904,230.428800,-213.670896,0.095026,0.095026,,0.095026,False,1990-1995
291919095485101,-95.814000,29.322000,1.510000,22.783800,265.480800,-242.697000,0.109794,0.109794,,0.109794,False,1990-1995
291948095135401,-95.232000,29.330000,-16.650000,6.220968,121.920000,-115.699032,0.072197,0.072197,,0.072197,False,1990-1995
291949095024801,-95.047000,29.331000,-17.530000,6.016752,230.428800,-224.412048,0.032665,0.032665,,0.032665,False,1990-1995
292037095010501,-95.018000,29.344000,-14.870000,4.270248,329.184000,-324.913752,-0.024114,-0.024114,-0.034940,-0.034940,True,1990-1995
292050095010501,-95.018000,29.348000,-17.980000,4.888992,240.792000,-235.903008,-0.012052,-0.012052,-0.034940,-0.034940,True,1990-1995
292054095171901,-95.289000,29.349000,-14.200000,9.067800,144.170400,-135.102600,0.072399,0.072399,,0.072399,False,1990-1995
292054095371301,-95.621000,29.349000,-11.210000,17.501616,266.395200,-248.893584,0.055831,0.055831,,0.055831,False,1990-1995
292109094562901,-94.942000,29.353000,-16.250000,3.066288,195.986400,-192.920112,-0.006130,-0.006130,-0.014439,-0.014439,True,1990-1995
292138095435801,-95.733000,29.361000,-1.610000,22.799040,364.236000,-341.436960,0.049178,0.049178,,0.049178,False,1990-1995
292144095033601,-95.060000,29.363000,-18.430000,6.105144,269.443200,-263.338056,0.023538,0.023538,,0.023538,False,1990-1995
292146095410301,-95.684000,29.363000,-9.210000,21.150072,352.958400,-331.808328,0.058207,0.058207,,0.058207,False,1990-1995
292151095035901,-95.067000,29.364000,-19.450000,6.245352,270.662400,-264.417048,0.023725,0.023725,,0.023725,False,1990-1995
292155095041001,-95.070000,29.366000,-19.890000,6.105144,266.090400,-259.985256,0.021966,0.021966,,0.021966,False,1990-1995
292159095042101,-95.073000,29.367000,-20.450000,6.105144,263.956800,-257.851656,0.022815,0.022815,,0.022815,False,1990-1995
292201095450301,-95.817000,29.357000,-2.240000,24.420576,329.793600,-305.373024,0.059380,0.059380,,0.059380,False,1990-1995
292203095043201,-95.076000,29.368000,-19.100000,7.223760,256.946400,-249.722640,0.022861,0.022861,,0.022861,False,1990-1995
292204095042901,-95.075000,29.368000,-20.180000,6.089904,266.395200,-260.305296,0.022291,0.022291,,0.022291,False,1990-1995
292204095043601,-95.077000,29.368000,-20.350000,7.519416,254.812800,-247.293384,0.022465,0.022465,,0.022465,False,1990-1995
292204095281301,-95.471000,29.368000,-12.760000,15.264384,281.330400,-266.066016,0.054811,0.054811,,0.054811,False,1990-1995
292205095043701,-95.077000,29.368000,-19.020000,7.363968,259.080000,-251.716032,0.022681,0.022681,,0.022681,False,1990-1995
292207094544001,-94.911000,29.369000,-16.410000,2.026920,196.596000,-194.569080,0.000579,0.000579,0.021679,0.021679,True,1990-1995
292208095042701,-95.074000,29.369000,-18.560000,5.952744,236.220000,-230.267256,0.017864,0.017864,,0.017864,False,1990-1995
292209094564701,-94.947000,29.369000,-14.700000,4.529328,304.800000,-300.270672,-0.014355,-0.014355,-0.014439,-0.014439,True,1990-1995
292209095042801,-95.075000,29.369000,-19.800000,5.821680,260.604000,-254.782320,0.020413,0.020413,,0.020413,False,1990-1995
292211094543301,-94.909000,29.370000,-23.400000,2.295144,317.601600,-315.306456,0.000622,0.000622,,0.000622,False,1990-1995
292211095044501,-95.079000,29.370000,-18.700000,7.339584,249.021600,-241.682016,0.021934,0.021934,,0.021934,False,1990-1995
292218095390801,-95.653000,29.372000,-10.160000,21.339048,352.044000,-330.704952,0.052864,0.052864,,0.052864,False,1990-1995
292222094564801,-94.947000,29.373000,-15.620000,4.523232,312.420000,-307.896768,-0.012278,-0.012278,0.018768,0.018768,True,1990-1995
292223094544401,-94.912000,29.373000,-14.770000,2.590800,309.981600,-307.390800,-0.010760,-0.010760,-0.010840,-0.010840,True,1990-1995
292229094565801,-94.950000,29.375000,-15.360000,4.629912,312.420000,-307.790088,-0.013950,-0.013950,-0.005068,-0.005068,True,1990-1995
292233094541501,-94.904000,29.376000,-15.270000,3.185160,235.000800,-231.815640,-0.009073,-0.009073,,-0.009073,False,1990-1995
